bot,verified,geo_enabled,default_profile,has_description,len_en,followers,friends,listed_count,likes,tweets
0,0.0,0.0,1.0,1,0,163,407,0,4193,5761
1,0.0,0.0,1.0,0,0,289,401,1,213,3210
0,0.0,0.0,1.0,1,0,216,214,0,2266,2455
0,0.0,1.0,1.0,1,1,185,492,1,10584,4936
1,0.0,0.0,1.0,0,1,9,26,0,140,2581
0,0.0,0.0,1.0,1,1,378,1176,1,1462,2282
1,0.0,0.0,1.0,0,1,15,24,0,52,496
0,0.0,0.0,0.0,1,0,141,269,5,6377,13133
1,0.0,0.0,1.0,1,1,2,1,0,15,1641
0,0.0,0.0,1.0,1,1,14,55,0,6,418
0,0.0,0.0,0.0,1,1,674,781,1,9569,27072
1,0.0,0.0,1.0,1,0,27,16,0,153,1750
1,0.0,0.0,1.0,1,1,13,5,0,46,2525
0,0.0,0.0,0.0,1,0,129,462,1,3275,1665
1,0.0,0.0,1.0,1,1,236,456,0,29,3560
1,0.0,0.0,0.0,1,0,353,887,7,1423,3077
1,0.0,0.0,1.0,1,1,20,3,0,0,824
0,0.0,0.0,0.0,1,1,920,1091,0,3310,25742
1,0.0,0.0,1.0,0,1,62,42,0,61,11204
0,0.0,0.0,1.0,1,1,25,52,0,123,1326
0,0.0,0.0,1.0,1,0,16,19,0,28,838
0,0.0,0.0,0.0,1,0,1846,2155,16,111578,79040
0,0.0,0.0,1.0,1,0,109,0,3,1198,4312
0,0.0,0.0,1.0,1,1,192,448,3,5959,6734
0,0.0,0.0,1.0,1,0,1365,1553,7,2599,19992
0,0.0,0.0,1.0,1,1,19,40,0,71,805
1,0.0,0.0,1.0,1,1,8,2,0,33,6192
1,0.0,0.0,1.0,1,0,21,16,0,543,3150
1,0.0,0.0,1.0,1,1,434,441,0,1783,7579
1,0.0,0.0,1.0,1,1,63,88,0,310,3138
1,0.0,0.0,1.0,0,0,157,228,1,21570,4512
1,0.0,0.0,1.0,0,0,53,62,25,6882,6836
1,0.0,0.0,0.0,1,0,38,98,0,265,346
0,0.0,0.0,1.0,0,1,19,52,0,37,1469
1,0.0,1.0,1.0,1,0,626,224,1,4872,15100
0,0.0,0.0,1.0,1,1,236,596,0,810,3172
1,0.0,0.0,1.0,0,1,7,10,0,346,575
0,0.0,1.0,1.0,1,0,592,1231,0,3783,5176
1,0.0,0.0,1.0,0,0,28,34,0,4455,1458
1,0.0,0.0,1.0,0,0,12,6,0,1159,1230
1,0.0,0.0,1.0,1,0,22,30,0,197,1909
1,0.0,1.0,1.0,0,0,460,449,0,4026,10546
1,0.0,0.0,1.0,0,0,21,171,0,63,1596
1,0.0,0.0,1.0,1,0,36,112,31,7434,7413
0,0.0,0.0,0.0,1,0,622,790,1,12866,6310
0,0.0,1.0,0.0,1,0,291,840,1,6041,3103
1,0.0,0.0,1.0,0,0,21,24,0,9,299
0,0.0,1.0,0.0,0,0,343,38,44,355,97414
0,0.0,1.0,1.0,1,0,394,1759,0,22624,2942
1,0.0,0.0,1.0,0,0,266,354,0,1202,6022
0,0.0,1.0,0.0,1,0,92145,82900,235,232002,74912
1,0.0,0.0,1.0,0,0,305,414,0,209,3081
1,0.0,0.0,1.0,0,0,261,609,0,10964,13218
1,0.0,0.0,0.0,0,0,165,152,0,7983,5273
0,0.0,0.0,1.0,1,0,169,229,0,4504,3561
0,0.0,0.0,1.0,1,0,287,346,3,6443,5545
1,0.0,0.0,1.0,0,0,17,122,0,312,491
0,0.0,0.0,0.0,0,0,794,641,8,45850,13870
0,0.0,1.0,0.0,1,0,474,451,6,3577,6540
0,0.0,1.0,0.0,1,0,320,576,2,9945,12863
1,0.0,1.0,0.0,1,0,365,270,4,10538,14922
0,0.0,0.0,1.0,1,0,2880,466,22,89707,83714
1,0.0,1.0,0.0,0,0,220,271,1,1294,9863
0,0.0,0.0,1.0,0,0,55,104,0,155,3224
0,0.0,0.0,0.0,1,0,217,292,4,19394,6020
1,0.0,1.0,0.0,1,0,2456,26,6,2667,10531
1,0.0,1.0,0.0,0,0,763,90,0,7446,13916
0,0.0,0.0,0.0,1,0,677,166,36,3628,15272
1,0.0,0.0,1.0,0,0,211,251,0,474,4165
1,0.0,0.0,1.0,0,0,175,86,0,1575,4750
1,0.0,0.0,1.0,0,0,129,77,0,1567,4566
0,0.0,0.0,1.0,0,1,24,23,0,6,332
0,0.0,0.0,0.0,1,0,2934,282,31,31118,41167
0,0.0,0.0,1.0,1,0,224,289,2,4789,4937
0,0.0,0.0,1.0,1,0,9,50,0,1889,536
1,0.0,0.0,1.0,0,0,84,42,0,750,3858
1,0.0,0.0,1.0,0,0,697,1276,0,6092,10359
1,0.0,0.0,1.0,0,0,29,34,0,9,1215
0,1.0,1.0,0.0,0,0,175843,204,419,7382,9121
0,0.0,0.0,1.0,0,0,67,474,3,3738,1300
0,0.0,0.0,1.0,1,0,292,148,1,10429,6228
0,0.0,0.0,1.0,1,0,62,379,0,3782,959
0,0.0,1.0,1.0,1,0,709,424,18,15838,16214
1,0.0,1.0,0.0,0,0,203,64,4,3327,19247
0,0.0,0.0,1.0,0,0,46,26,0,1206,4089
0,0.0,0.0,1.0,1,0,450,1490,7,34886,5341
0,0.0,1.0,0.0,1,0,2334,996,97,7579,11729
1,0.0,0.0,0.0,1,0,10,52,2,617,3198
0,0.0,1.0,0.0,1,0,2061,2831,81,60807,63945
0,0.0,1.0,0.0,1,0,79950,32566,353,151807,97642
0,0.0,0.0,0.0,1,0,1912,1583,125,3860,195705
1,0.0,0.0,1.0,0,0,314,642,1,13648,16895
0,0.0,1.0,0.0,0,0,1055,1607,4,76915,10288
1,0.0,0.0,1.0,0,0,186,469,0,3228,3068
0,0.0,0.0,1.0,1,0,307,300,14,6038,22972
0,0.0,1.0,0.0,1,0,2285,1771,67,11798,38011
1,0.0,0.0,1.0,0,0,139,54,0,4787,5472
1,0.0,0.0,1.0,0,0,295,585,0,13210,15683
1,0.0,1.0,0.0,1,0,329,445,1,262,3195
1,0.0,1.0,0.0,1,1,4843,1973,157,107465,61488
1,0.0,0.0,1.0,0,0,1,2,0,2047,2038
1,0.0,0.0,1.0,0,0,39,29,20,6840,6838
0,0.0,0.0,0.0,1,0,17300,17314,16,8890,86895
1,0.0,0.0,1.0,0,0,22,19,0,33199,2167
1,0.0,0.0,0.0,0,0,1118,751,3,19404,48043
1,0.0,0.0,1.0,0,0,494,685,2,5359,11732
1,0.0,0.0,1.0,1,0,366,434,3,19738,23553
0,0.0,1.0,0.0,1,0,251,1348,4,9752,5910
0,0.0,1.0,0.0,1,1,493,968,2,4027,5350
0,0.0,1.0,0.0,1,0,222,187,2,9432,2705
0,0.0,1.0,0.0,1,0,1725,949,7,76668,32925
0,0.0,0.0,1.0,1,0,34,232,0,8985,7648
1,0.0,1.0,1.0,0,0,224,161,1,381,4100
1,0.0,0.0,1.0,0,0,106,305,0,2291,4489
0,0.0,0.0,0.0,1,0,309,1462,27,49155,44138
0,0.0,0.0,1.0,0,0,15,36,0,1309,1351
1,0.0,0.0,1.0,1,0,41,168,0,186,1162
1,0.0,0.0,1.0,0,1,12,68,0,32,835
1,0.0,1.0,0.0,1,0,904,169,1,2855,9628
0,0.0,0.0,1.0,1,1,310,363,1,14772,7277
1,0.0,0.0,1.0,0,0,338,662,3,3115,4321
0,0.0,1.0,1.0,1,0,323,1556,11,13515,14723
1,0.0,0.0,1.0,0,0,48,97,0,7879,3494
0,0.0,1.0,1.0,1,0,595,1759,1,7555,6938
1,0.0,0.0,1.0,0,0,78,16,0,1426,1606
