bot,verified,geo_enabled,default_profile,has_description,len_en,followers,friends,listed_count,likes,tweets,cat_followers,cat_friends,cat_listed_count,cat_likes,cat_tweets
0,0.0,0.0,1.0,1,0,163,407,0,4193,5761,3,3,1,4,4
1,0.0,0.0,1.0,0,0,289,401,1,213,3210,3,3,1,3,4
0,0.0,0.0,1.0,1,0,216,214,0,2266,2455,3,3,1,4,4
0,0.0,1.0,1.0,1,1,185,492,1,10584,4936,3,3,1,5,4
1,0.0,0.0,1.0,0,1,9,26,0,140,2581,1,2,1,3,4
0,0.0,0.0,1.0,1,1,378,1176,1,1462,2282,3,4,1,4,4
1,0.0,0.0,1.0,0,1,15,24,0,52,496,2,2,1,2,3
0,0.0,0.0,0.0,1,0,141,269,5,6377,13133,3,3,1,4,5
1,0.0,0.0,1.0,1,1,2,1,0,15,1641,1,1,1,2,4
0,0.0,0.0,1.0,1,1,14,55,0,6,418,2,2,1,1,3
0,0.0,0.0,0.0,1,1,674,781,1,9569,27072,3,3,1,4,5
1,0.0,0.0,1.0,1,0,27,16,0,153,1750,2,2,1,3,4
1,0.0,0.0,1.0,1,1,13,5,0,46,2525,2,1,1,2,4
0,0.0,0.0,0.0,1,0,129,462,1,3275,1665,3,3,1,4,4
1,0.0,0.0,1.0,1,1,236,456,0,29,3560,3,3,1,2,4
1,0.0,0.0,0.0,1,0,353,887,7,1423,3077,3,3,1,4,4
1,0.0,0.0,1.0,1,1,20,3,0,0,824,2,1,1,1,3
0,0.0,0.0,0.0,1,1,920,1091,0,3310,25742,3,4,1,4,5
1,0.0,0.0,1.0,0,1,62,42,0,61,11204,2,2,1,2,5
0,0.0,0.0,1.0,1,1,25,52,0,123,1326,2,2,1,3,4
0,0.0,0.0,1.0,1,0,16,19,0,28,838,2,2,1,2,3
0,0.0,0.0,0.0,1,0,1846,2155,16,111578,79040,4,4,2,5,5
0,0.0,0.0,1.0,1,0,109,0,3,1198,4312,3,1,1,4,4
0,0.0,0.0,1.0,1,1,192,448,3,5959,6734,3,3,1,4,4
0,0.0,0.0,1.0,1,0,1365,1553,7,2599,19992,4,4,1,4,5
0,0.0,0.0,1.0,1,1,19,40,0,71,805,2,2,1,2,3
1,0.0,0.0,1.0,1,1,8,2,0,33,6192,1,1,1,2,4
1,0.0,0.0,1.0,1,0,21,16,0,543,3150,2,2,1,3,4
1,0.0,0.0,1.0,1,1,434,441,0,1783,7579,3,3,1,4,4
